product_name;product_rating;product_reviews;auction_price;original_price;offer_type;product_description
Fettercairn 50 Year Old;None;None;[];['785.71'];FREE UK Mainl;"Long-aged, elegant and very carefully selected, this single cask release from Fettercairn, launched in 2018 to celebrate the revitalisation of the distillery's on-going whisky range, is an impressive whisky. Matured for 50 years in an American white oak ex-bourbon cask and then finished for a few years in a tawny port pipe, this combines elegant old whisky with a fresh kick of berry fruit, all without becoming unbalanced.

Tasting Notes (1)"
Fettercairn 40 Year Old;None;None;[];['428.57'];FREE UK Mainl;"A very old whisky from Fettercairn, distilled on 23 December 1977 and laid down to mature for 40 years before bottling in 2018. It spent the final few years in Gonzales Byass Apostoles palo cortado sherry cask, adding layers of dark fruit, citrus and toffee to the elegantly fruity whisky. The result is a complex balance of fresh fruit and sherry cask character, with a touch of balsamic sweetness.

Tasting Notes (1)"
Fettercairn 28 Year Old;None;['4'];[];['657.14'];FREE UK Mainl;"Long-aged whisky from Fettercairn, distilled in a unique still that cools the neck with a constantly running cascade of water, helping to create a fruity and flavoursome spirit. This 28-year-old was matured in ex-bourbon casks and pairs the distillery's fruity character with darker, nuttier notes.

Tasting Notes (1)"
"Jura 1988 Vintage Series
Tawny Port Finish";None;None;[];['928.57'];FREE UK Mainl;A sophisticated, cask-strength 30-year-old from Jura. Matured in ex-bourbon barrels and finished in casks which previously held tawny port, this whisky layers thick, jammy fruit and spice atop creamy vanilla and fresh citrus, resulting in all the intricate complexity you'd expect from a whisky of this age.
"Glenrothes-Glenlivet 10 Year Old
Bot.1960s Cadenhead's";None;None;[];['666.67'];FREE UK Mainl;
Woodford Reserve Double Oaked;None;['17'];['53.75'];['76.79'];None;"An interesting twist on Woodford Reserve's classic straight bourbon. The whiskey is first matured in new charred white oak barrels, as usual, but before bottling is transferred to special heavily toasted, lightly charred finishing barrel. This gives it quite a different flavour to normal, with lots of spicy oak coming through on the palate.

Tasting Notes (1)"
Armorik Double Maturation;None;['3'];['46.95'];['67.07'];None;"An innovative malt from this Breton distillery. The whisky is aged first in Breton oak casks before being finished in sherry casks. This whisky has a real marine influence, which no doubt comes from the distillery's coastal location.

Tasting Notes (1)"
"Glen Grant 30 Year Old
Bot.1970s Gordon & MacPhail";None;None;[];['666.67'];FREE UK Mainl;A very rare Glen Grant 30-year-old released by independent bottlers Gordon & Macphail. Beautifully presented in a stencilled bottle, this malt was bottled sometimes in the 1970s, making it distilled in the 1940s.
"Old Fitzgerald's 1849
10 Year Old Bot.1960s";None;None;[];['666.67'];FREE UK Mainl;Bottled in the 1960s, this whiskey surely contains a good proportion of bourbon distilled during the glorious Van Winkle ownership period. The expression is named 1849 after the year in which the W.L. Weller Company was established.
"Copper Pot 8 Year Old
Bot.1980s";None;['1'];['59.95'];['79.93'];None;"An old bottling of Copper Pot 8 Year Old blended malt whisky, a brand from George Morton of Dundee. We estimate this bottle dates from the 1980s.


Please note


This bottle has a slightly damaged label, as shown in the photograph."
"Port Ellen 1983
14 Year Old The Cooper's Choice";None;None;[];['357.14'];FREE UK Mainl;
"Karuizawa 1983
Bot.2014 Sherry Cask";None;['2'];[];['857.14'];FREE UK Mainl;This 1983 Karuizawa has spent its life in first-fill sherry casks and was bottled in 2014 for a private customer.
"Macdonald's Glencoe 8 Year Old
Miniature";None;None;['5.25'];['10.50'];None;A miniature bottle of an 8 year old blended malt created in the 1960s and named in honour of Ben Nevis Distillery's founder 'Long' John McDonald, who still own the brand today. Bottled at a hefty 58%, it displays a spicy kick.
"Sazerac Rye 18 Year Old
Bot.2012";None;None;[];['133.33'];FREE UK Mainl;
"Strathisla 1937
Bot.1970s Gordon & MacPhail";None;None;[];['284.02'];FREE UK Mainl;
"Highland Park 20 Year Old
Rebus 20th Anniversary";None;None;[];['428.57'];FREE UK Mainl;Released in 2007, this 20-year-old Highland Park single malt was bottled to celebrate the 20th anniversary of author Ian Rankin’s Detective Rebus novels. The cask was specially selected by Rankin, and only 150 bottles were produced – all of which were presented to the author to distribute as he saw fit. The specially designed bottle is presented in a stylish wooden box, which is signed by Ian Rankin himself.
"Highland Park 1957
22 Year Old Cadenhead's";None;None;[];['666.67'];FREE UK Mainl;
"Highland Park 1957
21 Year Old Cadenhead's";None;None;[];['666.67'];FREE UK Mainl;
"Glen Grant 15 Year Old
Bot.1970s Peter Thomson";None;None;[];['924.70'];FREE UK Mainl;
"Knockando 1974
13 Year Old Bot.1987";None;None;[];['466.67'];FREE UK Mainl;
"Dalmore 40 Year Old
2018 Release";None;None;[];['107.14'];FREE UK Mainl;The 2018 release of Dalmore 40 Year Old was initially aged in white oak, ex-bourbon casks before being transferred into 30-year-old oloroso sherry casks. The palate is rich and full, notes of coffee, sultanas, dates, gingerbread and maple syrup mingling together before a finish full of blood orange and coconut notes.
"Aberlour-Glenlivet 10 Year Old
VOHM Bot.1990s";None;None;[];['427.14'];FREE UK Mainl;
"Glenfarclas 40 Year Old
Millennium Edition The Jolly Beggars";None;None;[];['142.86'];FREE UK Mainl;Packed with Glenfarclas's signature flavours - dried fruit, Christmas cake, rich sherry influence - this came out on top of the whole industry in a special competition between the distillers to pick the best malt for the Millennium. A tour de force in the classic Glenfarclas style.
"Springbank 1972
19 Year Old";None;None;[];[];FREE UK Mainl;
"Talisker 12 Year Old
Bot.1970s";None;None;[];['666.67'];FREE UK Mainl;
Amrut Naarangi;None;['1'];[];['178.57'];FREE UK Mainl;Naarangi is an innovative release from India's Amrut. The name is Hindi for 'orange' and the whisky was aged in an ex-oloroso-sherry cask, which was then seasoned with wine and orange peel for three years. A three-year-old whisky was then finished in the cask for a further three years, producing a whisky with extra orangey notes.
"Caledonian 'The Cally' 1974
40 Year Old Special Releases";None;['2'];[];['071.43'];FREE UK Mainl;"Part of Diageo's Special Releases 2015. Aromas of toffee popcorn, grilled pineapple and honeycomb. Toasty and oaky, but not heavy.

Tasting Notes (1)"
"Highland Park 8 Year Old
Bot.1980s Gordon & MacPhail";None;None;[];[];FREE UK Mainl;
"Isle Of Jura 33 Year Old
Sherry Cask Stillman's Dram";None;None;[];['428.57'];FREE UK Mainl;
"Strathisla 1948
40 Years Old Gordon & MacPhail";None;None;[];[];FREE UK Mainl;
"Port Ellen 1982
19 Year Old Sherry Cask Old Malt Cask";None;None;[];['333.33'];FREE UK Mainl;
"Port Ellen 1978
24 Year Old Old Malt Cask";None;None;[];[];FREE UK Mainl;
"Tullibardine 1993
24 Year Old Berry Bros & Rudd";None;None;[];[];FREE UK Mainl;Distilled in 1993, this Tullibardine whisky has been matured in a single cask for 24 years before being bottled by Berry Bros. & Rudd in 2017. This Highland single malt has rich notes of vanilla and honey alongside apricot and peach.
"Glen Esk 1983
30 Year Old 54.4% 70cl Statement No.11";None;None;[];[];FREE UK Mainl;
"Dalmore 12 Year Old
Bot.1990s";None;None;[];['357.14'];FREE UK Mainl;
"Springbank 1967
40 Year Old + Mini Duncan Taylor";None;['1'];[];[];FREE UK Mainl;
"Knockando Extra Old Reserve
Glass Pack";None;None;[];[];FREE UK Mainl;
"Karuizawa 1980
Bot.2015";None;None;[];['857.14'];FREE UK Mainl;Previewed at The Whisky Exchange Whisky Show 2015 as a Dream Dram, Karuizawa 1980 The Golden Samurai is one of the finest examples of sherry-cask-matured Japanese whisky we have ever tried. Bottled from a single cask, there are only a very limited number of bottles available.
"Glen Moray 2007
10 Year Old Single Malts of Scotland";None;None;['69.95'];['99.93'];None;"Glen Moray is an often overlooked distilery, and this independent bottling by Elixir Distillers for the Single Malts of Scotland shows why we need to pay more attention. It's a beautifully light and fruity dram, balancing vanilla and toffee notes from the single bourbon cask it was matured in against the distillery's orchard fruit.

Tasting Notes (1)"
"Strathisla 1969
34 Year Old Sherry Cask Jack Weiber's";None;None;[];['142.86'];FREE UK Mainl;
"Auchentoshan 1965
31 Year Old Cask 2508";None;None;[];['142.86'];FREE UK Mainl;
"Method and Madness 28 Year Old
Ruby Port Cask";None;['1'];[];['571.43'];FREE UK Mainl;"An incredibly rare whiskey release as part of the Method and Madness range. This combines rich and spicy pot-still spirit with a dark and fruity port pipe to create an almost unique bottling. Matured initially for six years in American-oak barrels, the whiskey was reracked into a single port-seasoned cask for 22 more. It's taken a long time, but the result is worth the wait.

Tasting Notes (1) 

Please note


Due to the design of the box, some small scratches are visible."
"Balvenie 1976
31 Year Old Cask #6570";None;None;[];['714.29'];FREE UK Mainl;A 1976-vintage Balvenie released as part of their Vintage Cask series. Matured for 31 years in cask 6570, this was one of 231 bottled on March 27 2008.
Mackmyra Svensk Ek;None;['4'];['49.75'];['71.07'];None;"The new name for The First Edition, Mackmyra Svensk Ek is aged partly in Swedish oak, from ancient trees planted on the island of Visingsö. These casks have imparted spicy herbal flavours, along with vanilla and toffee from the bourbon casks.

Tasting Notes (1)"
"William Larue Weller Bourbon
Bot.2015";None;None;[];[];FREE UK Mainl;"The 2015 release of the William Larue Weller, the wheated expression in Buffalo Trace's highly regarded annual Antique Collection bottlings. The 2011 release came second in the running for World Whisky of the Year in Jim Murray's 2013 Bible.


Awarded Third Finest Whisky in the World in Jim Murray's Whisky Bible 2017."
"Highland Harvest Organic
Sauternes Finish";None;['4'];['38.95'];['55.64'];None;An organic single malt from an undisclosed distillery. This was aged in casks which used to hold Sauternes dessert wine, before being released by independent bottler Highland Harvest.
"Parker's Heritage 8 Year Old Straight Malt
9th Edition";4;['3'];[];[];FREE UK Mainl;The ninth release in Parker's Heritage Collection is the first to be a straight malt whiskey , following on from 2014's wheated release. Made with a mashbill of 65% malted barley and 35% corn, this is a rarely seen style of Kentucky whiskey.
"Glen Grant 1949
40 Year Old Crystal Decanter Gordon & Macphail";None;None;[];[];FREE UK Mainl;
"Glenrothes 1968
32 Year Old Signatory";None;None;[];['142.86'];FREE UK Mainl;
"Millburn 1983
11 Year Old Cadenhead's";None;None;[];['928.57'];FREE UK Mainl;
"Strathisla 1949
Bot.1980s Crystal Decanter Gordon & MacPhail";None;None;[];['666.67'];FREE UK Mainl;
"Talisker 1951
21 Year Old Connoisseurs Choice";None;None;[];['333.33'];FREE UK Mainl;
"Miltonduff 1966
34 Year Old Hart Bros";None;None;[];['333.33'];FREE UK Mainl;
Kavalan Sherry Oak;None;['4'];['93.95'];['134.21'];None;"A 2016 addition to Kavalan's core range, Sherry Oak uses the same casks that are normally reserved for the cask-strength Solist releases, but diluted to 46% using Kavalan spring water. Sweet and oily with notes of dried fruit, dark chocolate, pepper and raisins.

Tasting Notes (2)"
"Emerald Isle 1991
24 Year Old Cask #8507";None;None;[];['714.29'];FREE UK Mainl;The third entry in the Emerald Isle range, and it's as impressive as the rest. A 24-year-old Irish single malt, with all the tropical fruit you could wish for in a whisky.
"Linlithgow 1975
24 Year Old Signatory";None;None;[];['333.33'];FREE UK Mainl;
"Springbank 1965
30 Year Old Hart Bros";None;None;[];['928.57'];FREE UK Mainl;
"Very Very Old Fitzgerald 1960
12 Year Old Bot.1972 Glass Pack";None;None;[];['666.67'];FREE UK Mainl;
"Chichibu On The Way
Bot.2015 Ichiro's Malt";None;['2'];[];['714.29'];FREE UK Mainl;"The 2015 release of Chichibu On The Way, a series charting the fledgling distillery's progress. This is a multi-vintage vatting of whisky distilled at various times since they opened in 2008, including some of their oldest. Surprisingly complex for a young whisky, it shows the skill of distiller Ichiro Akuto and his team.

Tasting Notes (1)"
"Tamdhu Dalbeallie Dram
Sherry Cask 1st Edition";None;None;[];[];FREE UK Mainl;
"Tamdhu 2002
Bot.2018 Sherry Cask #7389";None;None;[];[];FREE UK Mainl;
"Highland Park 1966
37 Year Old Sherry Cask Duncan Taylor";None;None;[];['666.67'];FREE UK Mainl;
"Bunnahabhain 1967
36 Year Old Duncan Taylor";None;None;[];['666.67'];FREE UK Mainl;
Strathcolm Extra Special;None;['2'];['22.45'];['32.07'];None;"This single-grain whisky has been matured in ex-bourbon casks. It displays the light, floral character typical of grain whiskies with the added spice, toffee and vanilla notes from the bourbon barrels.

Tasting Notes (1)"
